stamp,self_id,target_id,com_global_x,com_global_y,com_global_z,gt_x,gt_y,gt_z,com_error_x,com_error_y,com_error_z,com_error_norm,com_stamp_dt
159.500000000,1,2,1.922809892,1.448886292,2.874653141,2.009676481,2.033671680,2.859397531,-0.086866590,-0.584785388,0.015255610,0.591398755,-0.200000000
159.500000000,1,3,-0.174447435,1.548298275,2.925177663,-0.016034389,2.035153014,2.899411836,-0.158413046,-0.486854739,0.025765826,0.512626675,-0.100000000
159.600000000,1,0,-0.272585915,-0.516406849,2.945236980,-0.004607451,0.005169278,2.908441808,-0.267978464,-0.521576126,0.036795172,0.587544039,-0.200000000
159.600000000,1,2,1.882300432,1.387317866,2.879493230,2.010418954,2.033111890,2.864592907,-0.128118522,-0.645794024,0.014900323,0.658548629,-0.200000000
159.600000000,1,3,-0.171442887,1.524126453,2.926979957,-0.016969361,2.035115988,2.904307307,-0.154473525,-0.510989535,0.022672650,0.534309296,-0.100000000
159.700000000,1,0,-0.278714033,-0.531566727,2.954353983,-0.005558635,0.004616486,2.915630461,-0.273155398,-0.536183213,0.038723522,0.602997364,-0.200000000
159.700000000,1,2,1.847335399,1.392714161,2.894579381,2.011404188,2.032008325,2.871776714,-0.164068790,-0.639294164,0.022802668,0.660405601,-0.200000000
159.700000000,1,3,-0.158256944,1.467146709,2.934810644,-0.018211340,2.034940473,2.910823031,-0.140045604,-0.567793764,0.023987612,0.585301577,-0.100000000
159.800000000,1,0,-0.273257928,-0.565388843,2.961627402,-0.006235175,0.004336081,2.920253428,-0.267022753,-0.569724925,0.041373973,0.630554871,-0.200000000
159.800000000,1,2,1.806915887,1.399661007,2.894997769,2.012040889,2.031045075,2.876607291,-0.205125002,-0.631384068,0.018390477,0.664123721,-0.200000000
159.800000000,1,3,-0.169079459,1.436546271,2.939257775,-0.019014706,2.034709775,2.915066105,-0.150064753,-0.598163504,0.024191670,0.617174404,-0.100000000
159.900000000,1,0,-0.279080243,-0.603555790,2.963287448,-0.007164252,0.004048820,2.926638125,-0.271915990,-0.607604610,0.036649323,0.666681964,-0.200000000
159.900000000,1,2,1.772894830,1.350554397,2.909925239,2.012880153,2.029399308,2.883381587,-0.239985323,-0.678844911,0.026543652,0.720505332,-0.200000000
159.900000000,1,3,-0.219469345,1.413208650,2.953490700,-0.020045864,2.034185656,2.920839229,-0.199423481,-0.620977006,0.032651472,0.653030080,-0.100000000
160.000000000,1,0,-0.252847690,-0.609621084,2.968873856,-0.007893486,0.003873491,2.932586798,-0.244954203,-0.613494575,0.036287058,0.661585147,-0.200000000
160.000000000,1,2,1.807548978,1.365671111,2.926999626,2.013547500,2.027646792,2.889520921,-0.205998522,-0.661975681,0.037478706,0.694299536,-0.200000000
